iteration,target_variable,map_graph,map_probability,entropy_before,entropy_after,shd,precision,recall,f1,weight_rmse,weight_coverage
1,E,G1,0.5220884104537957,1.5427868774950564,0.6922427529952963,0,1.0,1.0,1.0,0.034606236489795654,1.0
2,A,G1,0.642539065613402,0.6922427529952963,0.6519653496612834,0,1.0,1.0,1.0,0.04129919216199181,1.0
3,D,G2,0.5105606057939839,0.6519653496612834,0.6929251676061837,1,1.0,0.8,0.888888888888889,0.15702992026550844,0.75
4,D,G1,0.972806230308631,0.6929251676061837,0.1248485244934066,0,1.0,1.0,1.0,0.04352659732073414,1.0
