iteration,target_variable,map_graph,map_probability,entropy_before,entropy_after,shd,precision,recall,f1,weight_rmse,weight_coverage
1,E,G1,0.5220884104537957,1.5427868774950564,0.6922427529952963,0,1.0,1.0,1.0,0.034606236489795675,1.0
2,A,G1,0.6425390656134036,0.6922427529952963,0.6519653496612825,0,1.0,1.0,1.0,0.04129919216199177,1.0
3,D,G2,0.5105606057939804,0.6519653496612825,0.6929251676061837,1,1.0,0.8,0.888888888888889,0.15702992026550838,0.75
4,D,G1,0.9728062303086316,0.6929251676061837,0.12484852449340407,0,1.0,1.0,1.0,0.043526597320734,1.0
